PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,MIN,AVG_SPEED_OFF,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,HEIGHT
Ed Davis,202334,POR,17,4.46,1,0,0.783,0,0.011,0.023,0.087,0.772,82
Patrick Patterson,202335,TOR,24,4.34,0.406,0.594,0.361,0.586,0.074,0.039,0.155,0.287,81
Eric Bledsoe,202339,PHX,33,4.63,0.738,0.262,0.554,0.228,0.18,0.195,0.195,0.373,73
Avery Bradley,202340,BOS,33,4.39,0.601,0.399,0.535,0.382,0.229,0.223,0.24,0.306,74
Hassan Whiteside,202355,MIA,32,3.86,1,0,0.794,0,0.094,0.025,0.114,0.7,84
Nemanja Bjelica,202357,MIN,18,4.5,0.468,0.532,0.403,0.468,0.026,0.081,0.097,0.377,82
Lance Thomas,202498,NYK,21,4.68,0.715,0.285,0.517,0.273,0.211,0.074,0.128,0.306,80
Kyrie Irving,202681,CLE,35,4.33,0.702,0.298,0.596,0.242,0.238,0.117,0.143,0.357,75
Enes Kanter,202683,OKC,21,4.38,0.971,0.029,0.778,0.029,0.112,0.102,0.14,0.667,83
Tristan Thompson,202684,CLE,30,4.5,1,0,0.768,0,0.016,0.065,0.142,0.753,81
Jonas Valanciunas,202685,TOR,26,4.23,1,0,0.789,0,0.104,0.02,0.129,0.685,84
Brandon Knight,202688,PHX,21,4.74,0.608,0.392,0.493,0.354,0.169,0.168,0.184,0.324,75
Kemba Walker,202689,CHA,35,4.6,0.632,0.368,0.457,0.323,0.147,0.152,0.165,0.31,73
Klay Thompson,202691,GSW,34,4.92,0.531,0.469,0.423,0.468,0.143,0.183,0.138,0.28,79
Markieff Morris,202693,WAS,31,3.91,0.784,0.216,0.675,0.184,0.277,0.054,0.128,0.397,82
Marcus Morris,202694,DET,33,4.54,0.685,0.315,0.534,0.286,0.288,0.09,0.166,0.246,81
Kawhi Leonard,202695,SAS,34,4.84,0.733,0.267,0.554,0.254,0.219,0.124,0.162,0.335,79
Nikola Vucevic,202696,ORL,29,4.24,0.991,0.009,0.899,0.005,0.383,0.032,0.12,0.517,84
Iman Shumpert,202697,CLE,25,4.29,0.521,0.479,0.457,0.415,0.193,0.161,0.17,0.264,77
Tobias Harris,202699,DET,32,4.72,0.731,0.269,0.604,0.215,0.108,0.147,0.165,0.496,81
Kenneth Faried,202702,DEN,21,4.55,0.997,0.003,0.834,0.004,0.048,0.156,0.149,0.786,80
Nikola Mirotic,202703,CHI,24,4.54,0.432,0.568,0.291,0.521,0.067,0.089,0.127,0.224,82
Reggie Jackson,202704,DET,28,4.59,0.732,0.268,0.567,0.238,0.136,0.089,0.126,0.431,75
Cory Joseph,202709,TOR,25,4.85,0.812,0.188,0.671,0.133,0.183,0.114,0.174,0.487,75
